newspaper,section,link,datetime,author,file_name
ABC,gente,https://www.abc.es/gente/esther-dona-acerca-posturas-juez-pedraz-tras-ruptura-20221115132359-nt.html,15/11/2022,AARÓN ESPÍ,ABC_aaron-espi-esther-dona-acerca-posturas-juez-pedraz-tras-ruptura.txt.json
ABC,cultura,https://www.abc.es/cultura/moneda-revela-emperador-romano-perdido-20221124145035-nt.html,24/11/2022,ABC,ABC_abc-moneda-revela-emperador-romano-perdido.txt.json
ABC,economia,https://www.abc.es/economia/fortunas-siete-ccaa-gobernadas-psoe-seguiran-pagando-20221117132927-nt.html,17/11/2022,BRUNO PÉREZ,ABC_bruno-perez-fortunas-siete-ccaa-gobernadas-psoe-seguiran-pagando.txt.json
ABC,espana,https://www.abc.es/espana/sanchez-presume-ley-solo-vicepresidentas-olvida-irene-20221122124404-nt.html,22/11/2022,GREGORIA CARO,ABC_gregoria-caro-sanchez-presume-ley-solo-vicepresidentas-olvida-irene.txt.json
ABC,espana,https://www.abc.es/espana/ministra-irene-montero-atrinchera-pese-aluvion-criticas-20221118215837-nt.html,18/11/2022,GREGORIA CARO Y ELENA CALVO,ABC_gregoria-caro-y-elena-calvo-ministra-irene-montero-atrinchera-pese-aluvion-criticas.txt.json
ABC,cultura,https://www.abc.es/cultura/mikecrack-youtuber-espanol-supera-ibai-rubius-vive-20221117143559-nt.html,17/11/2022,JAVIER VILLUENDAS,ABC_javier-villuendas-mikecrack-youtuber-espanol-supera-ibai-rubius-vive.txt.json
ABC,gente,https://www.abc.es/gente/esther-dona-pronuncia-tras-nueva-version-ruptura-20221116150628-vi.html,17/11/2022,LAURA G. CALLEJA,ABC_laura-g-calleja-esther-dona-pronuncia-tras-nueva-version-ruptura-vi.txt.json
ABC,historia,https://www.abc.es/historia/queipo-llano-brutales-arengas-aterrar-frente-popular-20221024135303-nt.html,26/10/2022,MANUEL P. VILLATORO,ABC_manuel-p-villatoro-queipo-llano-brutales-arengas-aterrar-frente-popular.txt.json
ABC,cultura,https://www.abc.es/cultura/musica/pancho-varona-tras-ruptura-sabina-20221117154453-nt.html,17/11/2022,NACHO SERRANO,ABC_nacho-serrano-pancho-varona-tras-ruptura-sabina.txt.json
ABC,ciencia,https://www.abc.es/ciencia/ratas-sacuden-cabeza-ritmo-mozart-lady-gaga-20221111172804-nt.html,14/11/2022,PATRICIA BIOSCA,ABC_patricia-biosca-ratas-sacuden-cabeza-ritmo-mozart-lady-gaga.txt.json
EL MUNDO,economia,https://www.elmundo.es/economia/2022/11/14/6371f28266742a001fb6cf7a-directo.html,14/11/2022,CARLOS GARCÉS,ELMUNDO_carlos-garces-fafbcfa-directo.txt.json
EL MUNDO,madrid,https://www.elmundo.es/madrid/2022/11/09/636bb85bfdddffb6108b45ff.html,2022-11-09 14:27:39+00:00,CARLOS GUISASOLA,ELMUNDO_carlos-guisasola-juan-lobato-secretario-general.txt.json
EL MUNDO,economia,https://www.elmundo.es/economia/macroeconomia/2022/11/09/636bd11a21efa0ed308b45ab.html,2022-11-09 16:16:39+00:00,CARMEN VALERO,ELMUNDO_carmen-valero-bdaefaedbab.txt.json
EL MUNDO,economia,https://www.elmundo.es/economia/macroeconomia/2022/11/15/637293bcfdddff7ea08b45a3.html,15/11/2022,DANIEL VIAÑA,ELMUNDO_daniel-viana-bcfdddffeaba.txt.json
EL MUNDO,economia,https://www.elmundo.es/economia/macroeconomia/2022/11/08/636952e3fdddff7a028b4598.html,2022-11-08 00:51:49+00:00,DANIEL VIAÑA,ELMUNDO_daniel-viana-efdddffab.txt.json
EL MUNDO,internacional,https://www.elmundo.es/internacional/2022/11/09/636bba91fc6c83a9558b4578.html,2022-11-09 19:08:30+00:00,EFE,ELMUNDO_efe-bbafccab.txt.json
EL MUNDO,economia,https://www.elmundo.es/economia/2022/11/09/6365559ce4d4d8aa378b45fd.html,2022-11-09 00:30:23+00:00,FÉLIX BORNSTEIN,ELMUNDO_felix-bornstein-ceddaabfd.txt.json
EL MUNDO,economia,https://www.elmundo.es/economia/vivienda/2022/11/15/6368fc64fdddfff7868b4597.html,15/11/2022,MARÍA HERNÁNDEZ,ELMUNDO_maria-hernandez-fcfdddfffb.txt.json
EL MUNDO,espana,https://www.elmundo.es/espana/2022/11/09/636aa44ee4d4d826028b45bb.html,2022-11-09 10:55:44+00:00,MARTA BELVER,ELMUNDO_marta-belver-la-moncloa-y-el-psoe.txt.json
EL MUNDO,television,https://www.elmundo.es/television/2022/11/08/636a2fe321efa0aa308b45b8.html,2022-11-08 10:31:04+00:00,TRESB,ELMUNDO_tresb-afeefaaabb.txt.json
EL PAIS,deportes,https://elpais.com//deportes/2022-11-02/nadal-alcaraz-y-la-doble-espina-de-bercy.html,2/11/2022,Alejandro Ciriza,ELPAIS_alejandro-ciriza-nadal-alcaraz-y-la-doble-espina-de-bercy.txt.json
EL PAIS,gente,https://elpais.com//estilo-de-vida/2022-11-04/the-omar-el-nuevo-bistro-con-panaderia-ubicado-en-un-hotel-que-enamora-a-madrilenos-y-visitantes.html,4/11/2022,Almudena Ávalos,ELPAIS_almudena-avalos-the-omar-el-nuevo-bistro-con-panaderia-ubicado-en-un-hotel-que-enamora-a-madrilenos-y-visitantes.txt.json
EL PAIS,sociedad,https://elpais.com//educacion/2022-11-03/la-escuela-debe-dar-ayuda-extra-a-los-ninos-de-familias-pobres-para-navarra-si-y-por-eso-tiene-muchos-mas-alumnos-con-necesidades-de-apoyo.html,3/11/2022,Amaia Otazu,ELPAIS_amaia-otazu-la-escuela-debe-dar-ayuda-extra-a-los-ninos-de-familias-pobres-para-navarra-si-y-por-eso-tiene-muchos-mas-alumnos-con-necesidades-de-apoyo.txt.json
EL PAIS,cultura,https://elpais.com//cultura/2022-11-04/las-mujeres-que-contaron-al-mundo-la-guerra-civil-recuperan-su-voz.html,4/11/2022,Andrea Aguilar,ELPAIS_andrea-aguilar-las-mujeres-que-contaron-al-mundo-la-guerra-civil-recuperan-su-voz.txt.json
EL PAIS,cultura,https://elpais.com//cultura/2022-11-08/xose-m-nunez-seixas-historiador-los-nazis-siempre-son-los-del-pueblo-de-al-lado-adolf-que-adolf.html,8/11/2022,José Andrés Rojo,ELPAIS_jose-andres-rojo-xose-m-nunez-seixas-historiador-los-nazis-siempre-son-los-del-pueblo-de-al-lado-adolf-que-adolf.txt.json
EL PAIS,internacional,https://elpais.com//internacional/2022-11-03/el-gobierno-etiope-y-los-rebeldes-de-tigray-firman-un-alto-el-fuego-tras-dos-anos-de-guerra-y-dos-millones-de-desplazados.html,3/11/2022,José Naranjo,ELPAIS_jose-naranjo-el-gobierno-etiope-y-los-rebeldes-de-tigray-firman-un-alto-el-fuego-tras-dos-anos-de-guerra-y-dos-millones-de-desplazados.txt.json
EL PAIS,internacional,https://elpais.com//internacional/2022-10-30/juan-guaido-mas-solo-que-nunca.html,30/10/2022,"Juan Diego Quesada, Alonso Moleiro",ELPAIS_juan-diego-quesada-alonso-moleiro-juan-guaido-mas-solo-que-nunca.txt.json
EL PAIS,television,https://elpais.com//television/2022-10-30/carles-francino-hace-anos-pedi-irme-no-porque-quiera-dejar-de-currar-pero-si-para-dejar-sitio-somos-unos-tapones.html,30/10/2022,Manuel Jabois,ELPAIS_manuel-jabois-carles-francino-hace-anos-pedi-irme-no-porque-quiera-dejar-de-currar-pero-si-para-dejar-sitio-somos-unos-tapones.txt.json
EL PAIS,espana,https://elpais.com//espana/2022-10-28/espana-contratara-en-el-extranjero-a-miles-de-carpinteros-electricistas-y-albaniles.html,28/10/2022,María Martín,ELPAIS_maria-martin-espana-contratara-en-el-extranjero-a-miles-de-carpinteros-electricistas-y-albaniles.txt.json
EL PAIS,cultura,https://elpais.com//cultura/2022-10-28/rebeca-leon-manager-de-rosalia-en-la-musica-no-esta-todo-inventado-hay-muchas-fusiones-por-ver.html,28/10/2022,Mikel Ormazabal,ELPAIS_mikel-ormazabal-rebeca-leon-manager-de-rosalia-en-la-musica-no-esta-todo-inventado-hay-muchas-fusiones-por-ver.txt.json
EL PERIODICO,entre-todos,https://www.elperiodico.com/es/entre-todos/20221031/bienvenidos-new-space-entender-77800365,31/10/2022,,ELPERIODICO_autor-bienvenidos-new-space-entender.txt.json
EL PERIODICO,temas/cine-660,https://www.elperiodico.com/es/ocio-y-cultura/20221016/carmen-sevilla-cumple-92-anos-77311264,16/10/2022,,ELPERIODICO_autor-carmen-sevilla-cumple-anos.txt.json
EL PERIODICO,internacional,https://www.elperiodico.com/es/internacional/20221023/desorden-politico-europa-primer-invierno-77605528,23/10/2022,,ELPERIODICO_autor-desorden-politico-europa-primer-invierno.txt.json
EL PERIODICO,sucesos,https://www.elperiodico.com/es/sucesos/20221020/supremo-rechaza-hombre-alegue-sentirse-77472864,20/10/2022,,ELPERIODICO_autor-supremo-rechaza-hombre-alegue-sentirse.txt.json
EL PERIODICO,internacional,https://www.elperiodico.com/es/internacional/20221025/chad-luto-protesta-77691869,25/10/2022,Europa Press,ELPERIODICO_europa-press-chad-luto-protesta.txt.json
EL PERIODICO,lo-mas-comentado,https://www.elperiodico.com/es/economia/20221020/estallar-espana-ciclo-huelgas-francia-77451894,20/10/2022,Gabriel Ubieto,ELPERIODICO_gabriel-ubieto-estallar-espana-ciclo-huelgas-francia.txt.json
EL PERIODICO,lo-mas-leido,https://www.elperiodico.com/es/sociedad/20221103/sallent-elena-desahucios-pnt-mossos-estela-78079417,3/11/2022,Guillem Sánchez,ELPERIODICO_guillem-sanchez-sallent-elena-desahucios-pnt-mossos-estela.txt.json
EL PERIODICO,temas/mamarazzis-101984,https://www.elperiodico.com/es/gente/20220622/shakira-acosadores-barcelona-santi-millan-mamarazzis-13913068,22/06/2022,Laura Fa y Lorena Vázquez,ELPERIODICO_laura-fa-y-lorena-vazquez-shakira-acosadores-barcelona-santi-millan-mamarazzis.txt.json
EL PERIODICO,barcelona,https://www.elperiodico.com/es/barcelona/20221025/josep-bou-pp-dimitira-elecciones-77688362,25/10/2022,Meritxell M. Pauné,ELPERIODICO_meritxell-m-paune-josep-bou-pp-dimitira-elecciones.txt.json
EL PERIODICO,yotele,https://www.elperiodico.com/es/yotele/20221101/belen-esteban-aviso-jesulin-ubrique-salvame-docuserie-77979892,1/11/2022,Redacción Yotele,ELPERIODICO_redaccion-yotele-belen-esteban-aviso-jesulin-ubrique-salvame-docuserie.txt.json
LA VANGUARDIA,gente,https://www.lavanguardia.com/gente/20221106/8596132/paco-leon-pide-disculpas-criticas-recibidas-comentario-sobre-gallegos.html,6/11/2022,"Alberto Ortega, Queralt Uceda, La Vanguardia",LAVANGUARDIA_alberto-ortega-queralt-uceda-la-vanguardia-paco-leon-pide-disculpas-criticas-recibidas-comentario-sobre-gallegos.txt.json
LA VANGUARDIA,economia,https://www.lavanguardia.com/economia/20221025/8581025/seqera-labs-consigue-22-millones-software-gestion-datos-salud.html,25/10/2022,,LAVANGUARDIA_autor-seqera-labs-consigue-millones-software-gestion-datos-salud.txt.json
LA VANGUARDIA,opinion,https://www.lavanguardia.com/opinion/20221107/8597980/suicidio-colectivo.html,7/11/2022,,LAVANGUARDIA_autor-suicidio-colectivo.txt.json
LA VANGUARDIA,vida,https://www.lavanguardia.com/vida/20221108/8597911/medicos-online-criticas-gobierno-receta-ayuso-crisis-sanidad-madrid.html,8/11/2022,"La Vanguardia, Rodrigo Jimenez, Eduardo Parra",LAVANGUARDIA_la-vanguardia-rodrigo-jimenez-eduardo-parra-medicos-online-criticas-gobierno-receta-ayuso-crisis-sanidad-madrid.txt.json
LA VANGUARDIA,vida,https://www.lavanguardia.com/natural/20221108/8597934/alerta-onu-estamos-carretera-infierno-climatico-pie-acelerador.html,7/11/2022,"Michael Probst, Ahmad Gharabli, Antonio Cerrillo Agencias, La Vanguardia, Joaquim Elcacho",LAVANGUARDIA_michael-probst-ahmad-gharabli-antonio-cerrillo-agencias-la-vanguardia-joaquim-elcacho-alerta-onu-estamos-carretera-infierno-climatico-pie-acelerador.txt.json
LA VANGUARDIA,economia,https://www.lavanguardia.com/economia/20221102/8590094/eventos-top.html,1/11/2022,Miquel Gonzalez,LAVANGUARDIA_miquel-gonzalez-eventos-top.txt.json
LA VANGUARDIA,politica,https://www.lavanguardia.com/politica/20221104/8593313/feijoo-lleva-mensaje-populismo-iberoamerica-gira-izquierda.html,4/11/2022,"Pablo González, Europa Press",LAVANGUARDIA_pablo-gonzalez-europa-press-feijoo-lleva-mensaje-populismo-iberoamerica-gira-izquierda.txt.json
LA VANGUARDIA,gente,https://www.lavanguardia.com/gente/20221108/8599134/marta-luisa-noruega-renuncia-funciones-oficiales-mantendra-titulo-princesa.html,8/11/2022,"Robin Utrecht, Enric Trias",LAVANGUARDIA_robin-utrecht-enric-trias-marta-luisa-noruega-renuncia-funciones-oficiales-mantendra-titulo-princesa.txt.json
LA VANGUARDIA,politica,https://www.lavanguardia.com/politica/20221023/8577995/propuestas-sanchez-crisis-energia-empiezan-calar-europa.html,22/10/2022,Stephanie Lecocq,LAVANGUARDIA_stephanie-lecocq-propuestas-sanchez-crisis-energia-empiezan-calar-europa.txt.json
LA VANGUARDIA,vida,https://www.lavanguardia.com/vida/20220925/8540081/dogtora-candy-jubila.html,25/09/2022,Xavi Jurio,LAVANGUARDIA_xavi-jurio-dogtora-candy-jubila.txt.json
PUBLICO,inicio,https://www.publico.es/internacional/fracasa-doble-mocion-censura-gobierno-frances.html#md=modulo-portada-fila-de-modulos:3x2-t1;mm=mobile-medium,24/10/2022,Aída Palau Sorolla,PUBLICO_aida-palau-sorolla-la-asamblea-nacional-de.txt.json
PUBLICO,inicio,https://www.publico.es/mujer/pobreza-obligara-110-millones-ninas-casarse-2035.html#md=modulo-portada-fila-de-modulos:3x2-t1;mm=mobile-medium,10/10/2022,Damaris Rachel Sobejano Agustín,PUBLICO_guillermo-martinez-ahi-continuan-las-grandes-edificaciones.txt.json
PUBLICO,inicio,https://www.publico.es/culturas/almudena-grandes-echa-monte.html#md=modulo-portada-fila-de-modulos:3x2-t1;mm=mobile-big,10/10/2022,Henrique Mariño / Vídeo: Candela Barro,PUBLICO_henrique-marino-video_-candela-barro-almudena-grandes-esbozo-en.txt.json
PUBLICO,politica,https://www.publico.es/politica/eugenio-merino-vencedores-guerra-civil-convirtieron-espana-propio-museo-fascismo.html#analytics-seccion:listado,2022-09-03,Jairo Vargas Martín,PUBLICO_jairo-vargas-martin-como-si-hablaran.txt.json
PUBLICO,sociedad,https://www.publico.es/sociedad/son-consecuencias-gran-sequia-europa.html#analytics-seccion:listado,2022-09-29,Marc Font,PUBLICO_marc-font-los-registros-indican-que.txt.json
PUBLICO,inicio,https://www.publico.es/sociedad/ayuso-asfixia-centros-menores-contentar-vox-empresas-privadas.html#md=modulo-portada-bloque:4col-t5;mm=mobile-verybig,2022-10-14,Público,PUBLICO_publico-_no-tiene-ni-pies.txt.json
PUBLICO,economia,https://www.publico.es/economia/gobierno-no-detiene-impuesto-banca-pese-cuestionamiento-bce.html#analytics-seccion:listado,2022-11-04,Público / Agencias,"PUBLICO_publico-agencias-el-presidente-del-gobierno,.txt.json"
PUBLICO,inicio,https://www.publico.es/internacional/detienen-nueve-personas-responsables-tragico-derrumbe-puente-colgante-india.html#md=modulo-portada-fila-de-modulos:2x3;mm=mobile-big,2022-10-31,Público / Agencias,PUBLICO_publico-agencias-la-policia-india-ha.txt.json
PUBLICO,inicio,https://www.publico.es/internacional/republicanos-sacan-leve-ventaja-camara-democratas-pelean-mantener-senado.html#md=modulo-portada-bloque:4col-t5;mm=mobile-big,2022-11-09,Público / EFE,PUBLICO_publico-efe-el-partido-republicano-anunciaba.txt.json
PUBLICO,inicio,https://www.publico.es/internacional/ultraderechista-le-pen-pasa-mando-partido-joven-bardella.html#md=modulo-portada-fila-de-modulos:3x2-t1;mm=mobile-medium,2022-11-05,Público,PUBLICO_publico-el-joven-eurodiputado-jordan.txt.json
PUBLICO,politica,https://www.publico.es/politica/bolanos-reivindica-paris-valores-europeos-ley-memoria-democratica.html#analytics-seccion:listado,2022-08-24,Público,PUBLICO_publico-el-ministro-español.txt.json
PUBLICO,inicio,https://www.publico.es/internacional/giorgia-meloni-supera-tramite-investidura-parlamento-italiano.html#md=modulo-portada-bloque:4col-t2;mm=mobile-medium,2022-10-26,Público,PUBLICO_publico-la-nueva-primera-ministra.txt.json